starttime	seconds	ctime	dtime	ttime	wait
Wed Feb 11 11:57:32 2015	1423663052	0	941	941	940
Wed Feb 11 11:57:32 2015	1423663052	0	974	974	974
Wed Feb 11 11:57:32 2015	1423663052	0	1006	1006	1004
Wed Feb 11 11:57:32 2015	1423663052	0	1009	1009	1008
Wed Feb 11 11:57:32 2015	1423663052	0	1026	1026	1022
Wed Feb 11 11:57:32 2015	1423663052	0	1040	1040	1039
Wed Feb 11 11:57:32 2015	1423663052	0	1041	1041	1040
Wed Feb 11 11:57:32 2015	1423663052	0	1056	1057	1056
Wed Feb 11 11:57:32 2015	1423663052	1	1058	1059	1058
Wed Feb 11 11:57:33 2015	1423663053	0	1059	1059	1059
Wed Feb 11 11:57:32 2015	1423663052	0	1060	1060	1059
Wed Feb 11 11:57:32 2015	1423663052	1	1060	1061	1058
Wed Feb 11 11:57:32 2015	1423663052	0	1061	1061	1058
Wed Feb 11 11:57:32 2015	1423663052	0	1066	1066	1066
Wed Feb 11 11:57:33 2015	1423663053	0	1071	1071	1071
Wed Feb 11 11:57:32 2015	1423663052	0	1073	1073	1064
Wed Feb 11 11:57:32 2015	1423663052	1	1077	1078	1077
Wed Feb 11 11:57:32 2015	1423663052	1	1078	1079	1078
Wed Feb 11 11:57:33 2015	1423663053	0	1080	1080	1080
Wed Feb 11 11:57:32 2015	1423663052	0	1081	1082	1079
Wed Feb 11 11:57:32 2015	1423663052	0	1081	1082	1081
Wed Feb 11 11:57:32 2015	1423663052	1	1083	1084	1083
Wed Feb 11 11:57:33 2015	1423663053	0	1086	1086	1085
Wed Feb 11 11:57:32 2015	1423663052	0	1088	1089	1088
Wed Feb 11 11:57:32 2015	1423663052	0	1091	1091	1091
Wed Feb 11 11:57:32 2015	1423663052	3	1090	1093	1090
Wed Feb 11 11:57:33 2015	1423663053	0	1098	1098	1098
Wed Feb 11 11:57:32 2015	1423663052	0	1099	1099	1099
Wed Feb 11 11:57:32 2015	1423663052	0	1102	1102	1101
Wed Feb 11 11:57:32 2015	1423663052	0	1107	1108	1107
Wed Feb 11 11:57:33 2015	1423663053	0	1110	1111	1110
Wed Feb 11 11:57:32 2015	1423663052	1	1123	1124	1123
Wed Feb 11 11:57:33 2015	1423663053	0	1124	1125	1124
Wed Feb 11 11:57:30 2015	1423663050	2	1123	1125	1123
Wed Feb 11 11:57:33 2015	1423663053	0	1132	1133	1132
Wed Feb 11 11:57:33 2015	1423663053	0	1136	1136	1135
Wed Feb 11 11:57:32 2015	1423663052	0	1139	1139	1138
Wed Feb 11 11:57:33 2015	1423663053	0	1151	1151	1151
Wed Feb 11 11:57:33 2015	1423663053	0	1154	1154	1154
Wed Feb 11 11:57:33 2015	1423663053	0	1154	1154	1154
Wed Feb 11 11:57:33 2015	1423663053	1	1162	1162	1162
Wed Feb 11 11:57:33 2015	1423663053	1	1177	1178	1177
Wed Feb 11 11:57:33 2015	1423663053	0	1185	1185	1181
Wed Feb 11 11:57:33 2015	1423663053	0	1188	1188	1188
Wed Feb 11 11:57:33 2015	1423663053	0	1200	1201	1200
Wed Feb 11 11:57:29 2015	1423663049	0	1205	1205	1202
Wed Feb 11 11:57:29 2015	1423663049	0	1251	1251	1240
Wed Feb 11 11:57:33 2015	1423663053	0	1264	1264	1264
Wed Feb 11 11:57:30 2015	1423663050	0	1282	1283	1282
Wed Feb 11 11:57:32 2015	1423663052	0	1295	1295	1295
Wed Feb 11 11:57:32 2015	1423663052	0	1309	1309	1307
Wed Feb 11 11:57:32 2015	1423663052	0	1320	1320	1318
Wed Feb 11 11:57:32 2015	1423663052	0	1345	1345	1345
Wed Feb 11 11:57:30 2015	1423663050	1	1351	1352	1351
Wed Feb 11 11:57:32 2015	1423663052	0	1361	1362	1361
Wed Feb 11 11:57:30 2015	1423663050	0	1384	1384	1384
Wed Feb 11 11:57:30 2015	1423663050	2	1383	1385	1382
Wed Feb 11 11:57:29 2015	1423663049	6	1380	1386	1375
Wed Feb 11 11:57:29 2015	1423663049	0	1394	1394	1393
Wed Feb 11 11:57:29 2015	1423663049	0	1405	1405	1405
Wed Feb 11 11:57:33 2015	1423663053	0	1438	1438	1438
Wed Feb 11 11:57:30 2015	1423663050	3	1437	1440	1437
Wed Feb 11 11:57:32 2015	1423663052	0	1446	1447	1444
Wed Feb 11 11:57:32 2015	1423663052	0	1470	1471	1468
Wed Feb 11 11:57:32 2015	1423663052	0	1478	1478	1478
Wed Feb 11 11:57:32 2015	1423663052	5	1485	1490	1485
Wed Feb 11 11:57:31 2015	1423663051	0	1490	1490	1486
Wed Feb 11 11:57:31 2015	1423663051	0	1494	1495	1478
Wed Feb 11 11:57:30 2015	1423663050	0	1519	1520	1519
Wed Feb 11 11:57:31 2015	1423663051	0	1522	1522	1518
Wed Feb 11 11:57:32 2015	1423663052	0	1527	1527	1525
Wed Feb 11 11:57:31 2015	1423663051	0	1529	1529	1528
Wed Feb 11 11:57:31 2015	1423663051	0	1532	1532	1528
Wed Feb 11 11:57:31 2015	1423663051	0	1548	1548	1546
Wed Feb 11 11:57:32 2015	1423663052	0	1557	1557	1555
Wed Feb 11 11:57:32 2015	1423663052	0	1559	1559	1559
Wed Feb 11 11:57:31 2015	1423663051	0	1570	1570	1567
Wed Feb 11 11:57:29 2015	1423663049	0	1572	1573	1569
Wed Feb 11 11:57:31 2015	1423663051	0	1575	1576	1570
Wed Feb 11 11:57:31 2015	1423663051	0	1578	1578	1573
Wed Feb 11 11:57:30 2015	1423663050	0	1598	1598	1598
Wed Feb 11 11:57:30 2015	1423663050	0	1599	1599	1598
Wed Feb 11 11:57:30 2015	1423663050	0	1599	1599	1596
Wed Feb 11 11:57:29 2015	1423663049	2	1605	1606	1599
Wed Feb 11 11:57:30 2015	1423663050	1	1606	1607	1605
Wed Feb 11 11:57:29 2015	1423663049	0	1613	1613	1606
Wed Feb 11 11:57:30 2015	1423663050	3	1611	1614	1611
Wed Feb 11 11:57:29 2015	1423663049	2	1615	1617	1611
Wed Feb 11 11:57:31 2015	1423663051	0	1618	1618	1618
Wed Feb 11 11:57:31 2015	1423663051	1	1621	1622	1618
Wed Feb 11 11:57:30 2015	1423663050	0	1623	1624	1623
Wed Feb 11 11:57:30 2015	1423663050	1	1624	1624	1623
Wed Feb 11 11:57:30 2015	1423663050	2	1626	1628	1625
Wed Feb 11 11:57:30 2015	1423663050	1	1631	1632	1631
Wed Feb 11 11:57:30 2015	1423663050	0	1634	1634	1633
Wed Feb 11 11:57:30 2015	1423663050	1	1636	1637	1636
Wed Feb 11 11:57:30 2015	1423663050	1	1644	1644	1644
Wed Feb 11 11:57:30 2015	1423663050	1	1660	1662	1660
Wed Feb 11 11:57:30 2015	1423663050	0	1663	1663	1662
Wed Feb 11 11:57:30 2015	1423663050	0	1663	1664	1663
Wed Feb 11 11:57:30 2015	1423663050	0	1666	1666	1663
Wed Feb 11 11:57:30 2015	1423663050	0	1675	1675	1674
Wed Feb 11 11:57:30 2015	1423663050	0	1675	1675	1675
Wed Feb 11 11:57:30 2015	1423663050	0	1680	1680	1679
Wed Feb 11 11:57:30 2015	1423663050	2	1680	1682	1680
Wed Feb 11 11:57:30 2015	1423663050	1	1685	1686	1685
Wed Feb 11 11:57:30 2015	1423663050	0	1686	1686	1686
Wed Feb 11 11:57:29 2015	1423663049	0	1688	1688	1688
Wed Feb 11 11:57:29 2015	1423663049	0	1688	1689	1687
Wed Feb 11 11:57:29 2015	1423663049	0	1697	1697	1697
Wed Feb 11 11:57:29 2015	1423663049	0	1697	1697	1697
Wed Feb 11 11:57:30 2015	1423663050	0	1699	1699	1699
Wed Feb 11 11:57:29 2015	1423663049	0	1699	1700	1694
Wed Feb 11 11:57:30 2015	1423663050	0	1702	1702	1701
Wed Feb 11 11:57:31 2015	1423663051	1	1702	1703	1700
Wed Feb 11 11:57:29 2015	1423663049	1	1707	1708	1702
Wed Feb 11 11:57:30 2015	1423663050	0	1709	1709	1707
Wed Feb 11 11:57:29 2015	1423663049	0	1710	1711	1710
Wed Feb 11 11:57:29 2015	1423663049	0	1715	1716	1715
Wed Feb 11 11:57:29 2015	1423663049	0	1720	1721	1720
Wed Feb 11 11:57:30 2015	1423663050	0	1725	1726	1725
Wed Feb 11 11:57:29 2015	1423663049	0	1729	1729	1729
Wed Feb 11 11:57:29 2015	1423663049	0	1729	1730	1729
Wed Feb 11 11:57:29 2015	1423663049	1	1729	1730	1724
Wed Feb 11 11:57:30 2015	1423663050	0	1732	1733	1732
Wed Feb 11 11:57:31 2015	1423663051	0	1738	1738	1737
Wed Feb 11 11:57:29 2015	1423663049	3	1735	1738	1731
Wed Feb 11 11:57:30 2015	1423663050	0	1738	1738	1738
Wed Feb 11 11:57:29 2015	1423663049	4	1735	1739	1720
Wed Feb 11 11:57:30 2015	1423663050	8	1733	1741	1732
Wed Feb 11 11:57:29 2015	1423663049	0	1742	1742	1738
Wed Feb 11 11:57:31 2015	1423663051	0	1743	1743	1743
Wed Feb 11 11:57:29 2015	1423663049	0	1743	1744	1743
Wed Feb 11 11:57:29 2015	1423663049	0	1744	1744	1741
Wed Feb 11 11:57:32 2015	1423663052	0	1744	1744	1744
Wed Feb 11 11:57:30 2015	1423663050	1	1747	1748	1747
Wed Feb 11 11:57:29 2015	1423663049	4	1744	1748	1741
Wed Feb 11 11:57:29 2015	1423663049	4	1746	1749	1745
Wed Feb 11 11:57:29 2015	1423663049	1	1749	1750	1748
Wed Feb 11 11:57:30 2015	1423663050	1	1749	1750	1748
Wed Feb 11 11:57:29 2015	1423663049	6	1745	1751	1745
Wed Feb 11 11:57:31 2015	1423663051	0	1751	1751	1748
Wed Feb 11 11:57:30 2015	1423663050	1	1754	1754	1753
Wed Feb 11 11:57:29 2015	1423663049	0	1754	1755	1750
Wed Feb 11 11:57:29 2015	1423663049	0	1755	1755	1749
Wed Feb 11 11:57:29 2015	1423663049	0	1761	1761	1761
Wed Feb 11 11:57:30 2015	1423663050	0	1762	1762	1761
Wed Feb 11 11:57:29 2015	1423663049	0	1762	1762	1748
Wed Feb 11 11:57:30 2015	1423663050	1	1761	1762	1761
Wed Feb 11 11:57:29 2015	1423663049	2	1765	1767	1762
Wed Feb 11 11:57:31 2015	1423663051	0	1767	1767	1765
Wed Feb 11 11:57:30 2015	1423663050	1	1767	1768	1767
Wed Feb 11 11:57:30 2015	1423663050	1	1768	1770	1768
Wed Feb 11 11:57:29 2015	1423663049	0	1769	1770	1752
Wed Feb 11 11:57:30 2015	1423663050	0	1773	1774	1773
Wed Feb 11 11:57:29 2015	1423663049	0	1775	1775	1774
Wed Feb 11 11:57:29 2015	1423663049	0	1778	1778	1774
Wed Feb 11 11:57:29 2015	1423663049	0	1785	1785	1759
Wed Feb 11 11:57:29 2015	1423663049	0	1787	1787	1765
Wed Feb 11 11:57:30 2015	1423663050	0	1798	1798	1796
Wed Feb 11 11:57:29 2015	1423663049	3	1797	1800	1751
Wed Feb 11 11:57:29 2015	1423663049	0	1800	1800	1799
Wed Feb 11 11:57:29 2015	1423663049	0	1801	1802	1801
Wed Feb 11 11:57:30 2015	1423663050	1	1802	1803	1802
Wed Feb 11 11:57:32 2015	1423663052	1	1802	1804	1802
Wed Feb 11 11:57:29 2015	1423663049	0	1803	1804	1799
Wed Feb 11 11:57:29 2015	1423663049	2	1806	1807	1805
Wed Feb 11 11:57:30 2015	1423663050	1	1809	1809	1808
